Well,Fluor,Sample,Cq,SQ,Target
D10,FAM,STD_100,33.12731369,100,SVC
D11,FAM,STD_100,33.15050838,100,SVC
D12,FAM,STD_100,33.19087927,100,SVC
E01,FAM,STD_100,33.09630699,100,SVC
E02,FAM,STD_100,33.21973768,100,SVC
E03,FAM,STD_100,33.16702885,100,SVC
E04,FAM,STD_100,33.08064959,100,SVC
E05,FAM,STD_100,32.90940584,100,SVC
E06,FAM,STD_100,33.28573859,100,SVC
E07,FAM,STD_100,33.0452569,100,SVC
E08,FAM,STD_100,32.5428867,100,SVC
E09,FAM,STD_100,33.12941958,100,SVC
E10,FAM,STD_100,33.23485255,100,SVC
E11,FAM,STD_100,33.07082019,100,SVC
E12,FAM,STD_100,33.13234787,100,SVC
F01,FAM,STD_100,33.05134756,100,SVC
F02,FAM,STD_100,33.0118675,100,SVC
F03,FAM,STD_100,32.75082124,100,SVC
F04,FAM,STD_100,33.03759868,100,SVC
F05,FAM,STD_100,33.06830468,100,SVC
F06,FAM,STD_100,33.09855925,100,SVC
F07,FAM,STD_100,32.51966668,100,SVC
F08,FAM,STD_100,33.01116179,100,SVC
F09,FAM,STD_100,32.78093469,100,SVC
F10,FAM,STD_100,32.90731744,100,SVC
F11,FAM,STD_100,33.00156853,100,SVC
F12,FAM,STD_100,33.18329141,100,SVC
G01,FAM,STD_100,33.36958162,100,SVC
G02,FAM,STD_100,32.9625603,100,SVC
G03,FAM,STD_100,32.83316627,100,SVC
G04,FAM,STD_100,33.08693856,100,SVC
G05,FAM,STD_100,33.18079414,100,SVC
G06,FAM,STD_100,32.74364355,100,SVC
G07,FAM,STD_100,33.12225827,100,SVC
G08,FAM,STD_100,32.66603578,100,SVC
G09,FAM,STD_100,32.95058007,100,SVC
G10,FAM,STD_100,32.97420159,100,SVC
G11,FAM,STD_100,33.33927342,100,SVC
G12,FAM,STD_100,33.05248244,100,SVC
H01,FAM,STD_100,33.07508567,100,SVC
H02,FAM,STD_100,33.3267986,100,SVC
H03,FAM,STD_100,33.01649997,100,SVC
H04,FAM,STD_100,33.19498345,100,SVC
H05,FAM,STD_100,32.93349474,100,SVC
H06,FAM,STD_100,32.88768446,100,SVC
H07,FAM,STD_100,32.98975043,100,SVC
H08,FAM,STD_100,33.12529173,100,SVC
H09,FAM,STD_100,33.2423109,100,SVC
H10,FAM,STD_100,33.13379825,100,SVC
H11,FAM,STD_100,33.14401919,100,SVC
H12,FAM,STD_100,33.31994821,100,SVC
A01,HEX,STD_100,32.9000195,100,BHC
A02,HEX,STD_100,32.81820549,100,BHC
A03,HEX,STD_100,33.03416453,100,BHC
A04,HEX,STD_100,33.09695028,100,BHC
A05,HEX,STD_100,33.06577182,100,BHC
A06,HEX,STD_100,32.87259507,100,BHC
A07,HEX,STD_100,33.22592272,100,BHC
A08,HEX,STD_100,32.97311628,100,BHC
A09,HEX,STD_100,33.21741852,100,BHC
A10,HEX,STD_100,32.91926193,100,BHC
A11,HEX,STD_100,33.06214437,100,BHC
A12,HEX,STD_100,33.3496244,100,BHC
B01,HEX,STD_100,33.23701587,100,BHC
B02,HEX,STD_100,32.82149508,100,BHC
B03,HEX,STD_100,32.84935791,100,BHC
B04,HEX,STD_100,32.71389395,100,BHC
B05,HEX,STD_100,32.79781055,100,BHC
B06,HEX,STD_100,32.99155486,100,BHC
B07,HEX,STD_100,33.29874672,100,BHC
B08,HEX,STD_100,33.0978106,100,BHC
B09,HEX,STD_100,33.06880467,100,BHC
B10,HEX,STD_100,32.96022288,100,BHC
B11,HEX,STD_100,33.08784881,100,BHC
B12,HEX,STD_100,33.50930502,100,BHC
C01,HEX,STD_100,33.12233225,100,BHC
C02,HEX,STD_100,33.16016128,100,BHC
C03,HEX,STD_100,33.12788836,100,BHC
C04,HEX,STD_100,32.86982924,100,BHC
C05,HEX,STD_100,33.09998832,100,BHC
C06,HEX,STD_100,32.94345138,100,BHC
C07,HEX,STD_100,33.0370429,100,BHC
C08,HEX,STD_100,32.99457983,100,BHC
C09,HEX,STD_100,33.02907275,100,BHC
C10,HEX,STD_100,33.26794997,100,BHC
C11,HEX,STD_100,32.99886981,100,BHC
C12,HEX,STD_100,33.0471867,100,BHC
D01,HEX,STD_100,32.98822301,100,BHC
D02,HEX,STD_100,33.23031763,100,BHC
D03,HEX,STD_100,33.23154001,100,BHC
D04,HEX,STD_100,32.93238133,100,BHC
D05,HEX,STD_100,33.15920744,100,BHC
D06,HEX,STD_100,32.95761873,100,BHC
D07,HEX,STD_100,32.99992839,100,BHC
D08,HEX,STD_100,32.94078388,100,BHC
D09,HEX,STD_100,32.83398738,100,BHC
D10,HEX,STD_100,33.20020438,100,BHC
D11,HEX,STD_100,33.11158729,100,BHC
D12,HEX,STD_100,33.20419459,100,BHC
E01,HEX,STD_100,33.17016133,100,BHC
E02,HEX,STD_100,33.25062766,100,BHC
E03,HEX,STD_100,33.18816352,100,BHC
E04,HEX,STD_100,33.09250657,100,BHC
E05,HEX,STD_100,33.02316061,100,BHC
E06,HEX,STD_100,33.297599,100,BHC
E07,HEX,STD_100,33.08314481,100,BHC
E08,HEX,STD_100,32.6422094,100,BHC
E09,HEX,STD_100,33.10987751,100,BHC
E10,HEX,STD_100,33.28482732,100,BHC
E11,HEX,STD_100,33.0764168,100,BHC
E12,HEX,STD_100,33.18078013,100,BHC
F01,HEX,STD_100,33.10676188,100,BHC
F02,HEX,STD_100,33.07429852,100,BHC
F03,HEX,STD_100,32.805417,100,BHC
F04,HEX,STD_100,33.14863762,100,BHC
